Model_1,Model_2,step2_random_sent_num,accuracy,group_size,Is_Same_Model
Gemini,Grok,1,0.20100502512562815,199,False
Gemini,Grok,2,0.32786885245901637,183,False
Gemini,Grok,3,0.30845771144278605,201,False
Gemini,Grok,4,0.2,215,False
Gemini,Grok,5,0.21782178217821782,202,False
Gemini,Gemini,1,0.20603015075376885,199,True
Gemini,Gemini,2,0.4207650273224044,183,True
Gemini,Gemini,3,0.4079601990049751,201,True
Gemini,Gemini,4,0.2837209302325581,215,True
Gemini,Gemini,5,0.41089108910891087,202,True
Gemini,Llama,1,0.1708542713567839,199,False
Gemini,Llama,2,0.3989071038251366,183,False
Gemini,Llama,3,0.32338308457711445,201,False
Gemini,Llama,4,0.19534883720930232,215,False
Gemini,Llama,5,0.2524752475247525,202,False
Gemini,Deepseek,1,0.18090452261306533,199,False
Gemini,Deepseek,2,0.366120218579235,183,False
Gemini,Deepseek,3,0.3383084577114428,201,False
Gemini,Deepseek,4,0.17674418604651163,215,False
Gemini,Deepseek,5,0.20297029702970298,202,False
Llama,ChatGPT,1,0.005813953488372093,172,False
Llama,ChatGPT,2,0.2832618025751073,233,False
Llama,ChatGPT,3,0.4218009478672986,211,False
Llama,ChatGPT,4,0.2774869109947644,191,False
Llama,ChatGPT,5,0.30569948186528495,193,False
Llama,Claude,1,0.0582010582010582,189,False
Llama,Claude,2,0.40476190476190477,210,False
Llama,Claude,3,0.6682692307692307,208,False
Llama,Claude,4,0.5384615384615384,195,False
Llama,Claude,5,0.5050505050505051,198,False
Llama,Grok,1,0.026455026455026454,189,False
Llama,Grok,2,0.24761904761904763,210,False
Llama,Grok,3,0.44711538461538464,208,False
Llama,Grok,4,0.27692307692307694,195,False
Llama,Grok,5,0.26262626262626265,198,False
Llama,Gemini,1,0.037037037037037035,189,False
Llama,Gemini,2,0.30952380952380953,210,False
Llama,Gemini,3,0.5769230769230769,208,False
Llama,Gemini,4,0.5948717948717949,195,False
Llama,Gemini,5,0.5454545454545454,198,False
Llama,Llama,1,0.031746031746031744,189,True
Llama,Llama,2,0.3238095238095238,210,True
Llama,Llama,3,0.6009615384615384,208,True
Llama,Llama,4,0.4358974358974359,195,True
Llama,Llama,5,0.36363636363636365,198,True
Llama,Deepseek,1,0.05291005291005291,189,False
Llama,Deepseek,2,0.2761904761904762,210,False
Llama,Deepseek,3,0.4423076923076923,208,False
Llama,Deepseek,4,0.3333333333333333,195,False
Llama,Deepseek,5,0.30808080808080807,198,False
Deepseek,ChatGPT,1,0.07692307692307693,208,False
Deepseek,ChatGPT,2,0.2441860465116279,172,False
Deepseek,ChatGPT,3,0.4972972972972973,185,False
Deepseek,ChatGPT,4,0.2760416666666667,192,False
Deepseek,ChatGPT,5,0.3155080213903743,187,False
Deepseek,Claude,1,0.07329842931937172,191,False
Deepseek,Claude,2,0.21348314606741572,178,False
Deepseek,Claude,3,0.521505376344086,186,False
Deepseek,Claude,4,0.37254901960784315,204,False
Deepseek,Claude,5,0.4486486486486487,185,False
Deepseek,Grok,1,0.06806282722513089,191,False
Deepseek,Grok,2,0.17415730337078653,178,False
Deepseek,Grok,3,0.46774193548387094,186,False
Deepseek,Grok,4,0.27941176470588236,204,False
Deepseek,Grok,5,0.32432432432432434,185,False
Deepseek,Gemini,1,0.06282722513089005,191,False
Deepseek,Gemini,2,0.2752808988764045,178,False
Deepseek,Gemini,3,0.5698924731182796,186,False
Deepseek,Gemini,4,0.3872549019607843,204,False
Deepseek,Gemini,5,0.5675675675675675,185,False
Deepseek,Llama,1,0.05759162303664921,191,False
Deepseek,Llama,2,0.24157303370786518,178,False
Deepseek,Llama,3,0.5483870967741935,186,False
Deepseek,Llama,4,0.3235294117647059,204,False
Deepseek,Llama,5,0.3891891891891892,185,False
Deepseek,Deepseek,1,0.07329842931937172,191,True
Deepseek,Deepseek,2,0.17415730337078653,178,True
Deepseek,Deepseek,3,0.46774193548387094,186,True
Deepseek,Deepseek,4,0.29411764705882354,204,True
Deepseek,Deepseek,5,0.34594594594594597,185,True
