prompt,model_of_original_prompt,order,iteration,prompt_length,step1_story_prompt_with_prefix,full_prompt_length
"A magical snow globe that shows real places in miniature, and one can enter them.",ChatGPT,37,7,81,"Please write me a story in exactly 5 sentences: A magical snow globe that shows real places in miniature, and one can enter them.",129
A bookshop where the books the customer needs most glow when they walk in.,ChatGPT,16,7,74,Please write me a story in exactly 5 sentences: A bookshop where the books the customer needs most glow when they walk in.,122
A professional risk-taker who specializes in testing the safety of everyday products.,ChatGPT,48,6,85,Please write me a story in exactly 5 sentences: A professional risk-taker who specializes in testing the safety of everyday products.,133
"Imagine a society where music is forbidden, and follow a group of rebels who orchestrate a musical revolution.",ChatGPT,19,18,110,"Please write me a story in exactly 5 sentences: Imagine a society where music is forbidden, and follow a group of rebels who orchestrate a musical revolution.",158
"A village’s well water has started to exhibit strange properties, and an old legend resurfaces.",ChatGPT,29,19,95,"Please write me a story in exactly 5 sentences: A village’s well water has started to exhibit strange properties, and an old legend resurfaces.",143
"A city where everyone can hear each other's thoughts, and one person who suddenly can’t.",ChatGPT,7,1,88,"Please write me a story in exactly 5 sentences: A city where everyone can hear each other's thoughts, and one person who suddenly can’t.",136
An ancient map leads a group of adventurers to a city beneath the ocean that isn't as deserted as it seems.,ChatGPT,37,15,107,Please write me a story in exactly 5 sentences: An ancient map leads a group of adventurers to a city beneath the ocean that isn't as deserted as it seems.,155
"A fantasy world’s “chosen one” decides they don’t want the responsibility, forcing others to step up in unexpected ways.",ChatGPT,38,12,120,"Please write me a story in exactly 5 sentences: A fantasy world’s “chosen one” decides they don’t want the responsibility, forcing others to step up in unexpected ways.",168
Tell a story of a family moving into a house that slowly reveals its history through hidden objects.,ChatGPT,33,10,100,Please write me a story in exactly 5 sentences: Tell a story of a family moving into a house that slowly reveals its history through hidden objects.,148
A young artist in a dystopian society secretly paints what is forbidden: the human smile.,ChatGPT,5,9,89,Please write me a story in exactly 5 sentences: A young artist in a dystopian society secretly paints what is forbidden: the human smile.,137
An underground library that holds the secrets to the universe.,ChatGPT,21,16,62,Please write me a story in exactly 5 sentences: An underground library that holds the secrets to the universe.,110
"A cruise ship travels through time after passing through a mysterious storm, encountering different eras.",ChatGPT,44,17,105,"Please write me a story in exactly 5 sentences: A cruise ship travels through time after passing through a mysterious storm, encountering different eras.",153
An elevator that goes to floors that don't exist in the building's plans.,ChatGPT,41,7,73,Please write me a story in exactly 5 sentences: An elevator that goes to floors that don't exist in the building's plans.,121
A society where every citizen must undergo a ritual to forget their childhood to become an adult.,ChatGPT,43,2,97,Please write me a story in exactly 5 sentences: A society where every citizen must undergo a ritual to forget their childhood to become an adult.,145
"A VR game tester gets trapped inside a game, and must solve puzzles based on historical events to escape.",ChatGPT,46,19,105,"Please write me a story in exactly 5 sentences: A VR game tester gets trapped inside a game, and must solve puzzles based on historical events to escape.",153
Two strangers start talking at a bus stop and realize their lives are strangely interconnected.,ChatGPT,2,4,95,Please write me a story in exactly 5 sentences: Two strangers start talking at a bus stop and realize their lives are strangely interconnected.,143
A young witch struggles to control her power to change the past.,ChatGPT,24,16,64,Please write me a story in exactly 5 sentences: A young witch struggles to control her power to change the past.,112
"A young boy befriends a monster under his bed, who teaches him about bravery and facing his fears.",ChatGPT,41,12,98,"Please write me a story in exactly 5 sentences: A young boy befriends a monster under his bed, who teaches him about bravery and facing his fears.",146
"An underground city is discovered beneath a major metropolitan area, inhabited by a civilization thought to be extinct.",ChatGPT,50,15,119,"Please write me a story in exactly 5 sentences: An underground city is discovered beneath a major metropolitan area, inhabited by a civilization thought to be extinct.",167
"In a futuristic society, dreams are taxed by the government, leading to a black market for dreams.",ChatGPT,13,2,98,"Please write me a story in exactly 5 sentences: In a futuristic society, dreams are taxed by the government, leading to a black market for dreams.",146
"A couple moves into a house where the walls whisper at night, revealing the town's dark secrets.",ChatGPT,44,19,96,"Please write me a story in exactly 5 sentences: A couple moves into a house where the walls whisper at night, revealing the town's dark secrets.",144
A child’s imaginary friend turns out to be real and has information about an impending crisis.,ChatGPT,33,1,94,Please write me a story in exactly 5 sentences: A child’s imaginary friend turns out to be real and has information about an impending crisis.,142
"In a dystopian future, a forbidden book holds the key to changing the world.",ChatGPT,39,19,76,"Please write me a story in exactly 5 sentences: In a dystopian future, a forbidden book holds the key to changing the world.",124
A character develops the ability to see how small changes in the present can alter the future drastically.,ChatGPT,46,2,106,Please write me a story in exactly 5 sentences: A character develops the ability to see how small changes in the present can alter the future drastically.,154
A story set in a world where people age backwards.,ChatGPT,32,8,50,Please write me a story in exactly 5 sentences: A story set in a world where people age backwards.,98
"A scientist creates a machine to view alternate realities, only to find out that in every reality, a version of themselves is trying to contact them.",ChatGPT,12,9,149,"Please write me a story in exactly 5 sentences: A scientist creates a machine to view alternate realities, only to find out that in every reality, a version of themselves is trying to contact them.",197
"Every full moon, a character turns into a different animal.",ChatGPT,24,7,59,"Please write me a story in exactly 5 sentences: Every full moon, a character turns into a different animal.",107
A kingdom must find a new ruler through a unique and dangerous trial.,ChatGPT,43,14,69,Please write me a story in exactly 5 sentences: A kingdom must find a new ruler through a unique and dangerous trial.,117
A character inherits a watch that can stop time but learns that using it comes with unpredictable consequences.,ChatGPT,23,12,111,Please write me a story in exactly 5 sentences: A character inherits a watch that can stop time but learns that using it comes with unpredictable consequences.,159
A character stumbles upon an underground library with books that can alter the past.,ChatGPT,44,12,84,Please write me a story in exactly 5 sentences: A character stumbles upon an underground library with books that can alter the past.,132
A scientist accidentally creates a portal to an alternate universe where history took a different course.,ChatGPT,41,6,105,Please write me a story in exactly 5 sentences: A scientist accidentally creates a portal to an alternate universe where history took a different course.,153
A character who is afraid of the dark discovers they can manipulate shadows.,ChatGPT,22,3,76,Please write me a story in exactly 5 sentences: A character who is afraid of the dark discovers they can manipulate shadows.,124
"A couple finds a way to travel through different universes, searching for the perfect world to settle down.",ChatGPT,47,1,107,"Please write me a story in exactly 5 sentences: A couple finds a way to travel through different universes, searching for the perfect world to settle down.",155
A haunted smartphone that predicts future events through its notifications.,ChatGPT,37,16,75,Please write me a story in exactly 5 sentences: A haunted smartphone that predicts future events through its notifications.,123
A world-renowned artist starts seeing their fictional creations come to life.,ChatGPT,10,15,77,Please write me a story in exactly 5 sentences: A world-renowned artist starts seeing their fictional creations come to life.,125
A gardener finds a buried scroll in their new yard that predicts the future of the town.,ChatGPT,14,19,88,Please write me a story in exactly 5 sentences: A gardener finds a buried scroll in their new yard that predicts the future of the town.,136
Create a story about a town where everyone must speak in rhyme.,ChatGPT,43,8,63,Please write me a story in exactly 5 sentences: Create a story about a town where everyone must speak in rhyme.,111
Create a story about a character who is the only human in an alien school.,ChatGPT,38,8,74,Please write me a story in exactly 5 sentences: Create a story about a character who is the only human in an alien school.,122
Two strangers meet on a train and realize they share a strange connection.,ChatGPT,3,14,74,Please write me a story in exactly 5 sentences: Two strangers meet on a train and realize they share a strange connection.,122
"A young prodigy builds a machine to explore alternate realities, only to get trapped in one.",ChatGPT,26,19,92,"Please write me a story in exactly 5 sentences: A young prodigy builds a machine to explore alternate realities, only to get trapped in one.",140
A story about a magical mirror that shows more than just reflections.,ChatGPT,15,8,69,Please write me a story in exactly 5 sentences: A story about a magical mirror that shows more than just reflections.,117
Write about a society where everyone must wear masks that display their emotions.,ChatGPT,34,20,81,Please write me a story in exactly 5 sentences: Write about a society where everyone must wear masks that display their emotions.,129
An elderly woman discovers that her new glasses can see into the past and starts solving old mysteries.,ChatGPT,40,15,103,Please write me a story in exactly 5 sentences: An elderly woman discovers that her new glasses can see into the past and starts solving old mysteries.,151
A person who finds an old camera that takes pictures of the past.,ChatGPT,18,13,65,Please write me a story in exactly 5 sentences: A person who finds an old camera that takes pictures of the past.,113
A child finds a magical compass that doesn’t point north but to what the holder needs most.,ChatGPT,48,5,91,Please write me a story in exactly 5 sentences: A child finds a magical compass that doesn’t point north but to what the holder needs most.,139
A child born with the ability to manipulate weather must learn to control their powers amidst a family crisis.,ChatGPT,8,15,110,Please write me a story in exactly 5 sentences: A child born with the ability to manipulate weather must learn to control their powers amidst a family crisis.,158
"After a solar flare, one half of the Earth experiences perpetual day, while the other is stuck in unending night.",ChatGPT,19,4,113,"Please write me a story in exactly 5 sentences: After a solar flare, one half of the Earth experiences perpetual day, while the other is stuck in unending night.",161
"A world where music is the source of power, and a silent zone is discovered.",ChatGPT,45,6,76,"Please write me a story in exactly 5 sentences: A world where music is the source of power, and a silent zone is discovered.",124
"A couple moves into a house that can grant wishes, but each wish comes with unexpected consequences.",ChatGPT,13,17,100,"Please write me a story in exactly 5 sentences: A couple moves into a house that can grant wishes, but each wish comes with unexpected consequences.",148
Write a story set in a library where each book can alter reality when read.,ChatGPT,13,3,75,Please write me a story in exactly 5 sentences: Write a story set in a library where each book can alter reality when read.,123
A magical library where every book is a portal to the story's universe.,ChatGPT,51,6,71,Please write me a story in exactly 5 sentences: A magical library where every book is a portal to the story's universe.,119
Write about a society where everyone must decide their entire life’s path at age 10.,ChatGPT,41,3,84,Please write me a story in exactly 5 sentences: Write about a society where everyone must decide their entire life’s path at age 10.,132
A reality where people must speak the truth when asked a direct question.,ChatGPT,49,6,73,Please write me a story in exactly 5 sentences: A reality where people must speak the truth when asked a direct question.,121
"A society where people can take a pill to forget their unhappy memories, leading to unforeseen consequences.",ChatGPT,26,1,108,"Please write me a story in exactly 5 sentences: A society where people can take a pill to forget their unhappy memories, leading to unforeseen consequences.",156
A character inherits a mansion that contains portals to different time periods.,ChatGPT,12,16,79,Please write me a story in exactly 5 sentences: A character inherits a mansion that contains portals to different time periods.,127
A character discovers they can switch lives with anyone they touch.,ChatGPT,15,16,67,Please write me a story in exactly 5 sentences: A character discovers they can switch lives with anyone they touch.,115
A character finds a mysterious radio that broadcasts from the future.,ChatGPT,30,7,69,Please write me a story in exactly 5 sentences: A character finds a mysterious radio that broadcasts from the future.,117
Imagine a world where shadows communicate with their owners.,ChatGPT,17,10,60,Please write me a story in exactly 5 sentences: Imagine a world where shadows communicate with their owners.,108
Develop a tale of two pen pals who are from different planets.,ChatGPT,39,10,62,Please write me a story in exactly 5 sentences: Develop a tale of two pen pals who are from different planets.,110
"Two strangers decide to go on a road trip to return a lost item, only to discover they are linked by more than just the item.",ChatGPT,2,1,125,"Please write me a story in exactly 5 sentences: Two strangers decide to go on a road trip to return a lost item, only to discover they are linked by more than just the item.",173
A writer's fictional characters come to life and demand changes to their stories.,ChatGPT,13,6,81,Please write me a story in exactly 5 sentences: A writer's fictional characters come to life and demand changes to their stories.,129
Write about a world where it rains something other than water. How does this change society?,ChatGPT,6,20,92,Please write me a story in exactly 5 sentences: Write about a world where it rains something other than water. How does this change society?,140
Two childhood friends reunite at the site of their old treehouse to uncover a buried secret.,ChatGPT,20,3,92,Please write me a story in exactly 5 sentences: Two childhood friends reunite at the site of their old treehouse to uncover a buried secret.,140
Create a story where the main character is granted three wishes by a non-traditional genie.,ChatGPT,23,8,91,Please write me a story in exactly 5 sentences: Create a story where the main character is granted three wishes by a non-traditional genie.,139
A world where shadows whisper secrets of the past and future.,ChatGPT,18,6,61,Please write me a story in exactly 5 sentences: A world where shadows whisper secrets of the past and future.,109
Create a story about a photographer who captures more than just images in their photos.,ChatGPT,22,20,87,Please write me a story in exactly 5 sentences: Create a story about a photographer who captures more than just images in their photos.,135
"In a post-apocalyptic world, a group finds a seed vault that could restore nature.",ChatGPT,15,14,82,"Please write me a story in exactly 5 sentences: In a post-apocalyptic world, a group finds a seed vault that could restore nature.",130
Develop a story about an ancient curse that affects only those who know about it.,ChatGPT,40,20,81,Please write me a story in exactly 5 sentences: Develop a story about an ancient curse that affects only those who know about it.,129
"In a futuristic society, a character opts to live a day in the life of their ancestors through a virtual reality program and finds unexpected truths.",ChatGPT,23,4,149,"Please write me a story in exactly 5 sentences: In a futuristic society, a character opts to live a day in the life of their ancestors through a virtual reality program and finds unexpected truths.",197
Two strangers on a train share a secret that could change the world.,ChatGPT,5,19,68,Please write me a story in exactly 5 sentences: Two strangers on a train share a secret that could change the world.,116
"In a world where everyone can read minds, one person discovers they are immune to this ability.",ChatGPT,9,4,95,"Please write me a story in exactly 5 sentences: In a world where everyone can read minds, one person discovers they are immune to this ability.",143
A small town's librarian finds a hidden message in an old book that leads to a secret society.,ChatGPT,4,15,94,Please write me a story in exactly 5 sentences: A small town's librarian finds a hidden message in an old book that leads to a secret society.,142
A group of friends find a map that leads to different times rather than places.,ChatGPT,32,2,79,Please write me a story in exactly 5 sentences: A group of friends find a map that leads to different times rather than places.,127
A character is cursed to live the same day repeatedly until they correct a past mistake.,ChatGPT,45,5,88,Please write me a story in exactly 5 sentences: A character is cursed to live the same day repeatedly until they correct a past mistake.,136
A haunted chess set where the game plays out real events.,ChatGPT,46,16,57,Please write me a story in exactly 5 sentences: A haunted chess set where the game plays out real events.,105
Imagine a society where every person's role is chosen by a lottery at birth.,ChatGPT,26,11,76,Please write me a story in exactly 5 sentences: Imagine a society where every person's role is chosen by a lottery at birth.,124
A chef enters a cooking competition where the ingredients are magical and have unexpected effects.,ChatGPT,7,6,98,Please write me a story in exactly 5 sentences: A chef enters a cooking competition where the ingredients are magical and have unexpected effects.,146
Write about a character who must solve a puzzle to inherit a vast fortune.,ChatGPT,34,3,74,Please write me a story in exactly 5 sentences: Write about a character who must solve a puzzle to inherit a vast fortune.,122
Imagine a world where it's possible to bottle and sell time.,ChatGPT,44,5,60,Please write me a story in exactly 5 sentences: Imagine a world where it's possible to bottle and sell time.,108
A character can teleport but only to places they’ve never been before.,ChatGPT,25,7,70,Please write me a story in exactly 5 sentences: A character can teleport but only to places they’ve never been before.,118
An ancient map leads to a modern-day treasure hunt.,ChatGPT,7,14,51,Please write me a story in exactly 5 sentences: An ancient map leads to a modern-day treasure hunt.,99
An antique mirror shows the viewer their life from a different perspective.,ChatGPT,40,16,75,Please write me a story in exactly 5 sentences: An antique mirror shows the viewer their life from a different perspective.,123
A magical pawn shop where each item has a story.,ChatGPT,15,13,48,Please write me a story in exactly 5 sentences: A magical pawn shop where each item has a story.,96
A character must travel to various fictional worlds to rescue their kidnapped sibling.,ChatGPT,43,6,86,Please write me a story in exactly 5 sentences: A character must travel to various fictional worlds to rescue their kidnapped sibling.,134
Imagine a world where sleep is not necessary. How would our lives change?,ChatGPT,36,20,73,Please write me a story in exactly 5 sentences: Imagine a world where sleep is not necessary. How would our lives change?,121
Write about an astronaut stranded on an alien planet who befriends the local wildlife.,ChatGPT,30,18,86,Please write me a story in exactly 5 sentences: Write about an astronaut stranded on an alien planet who befriends the local wildlife.,134
Write about a world where people can take a pill to forget their bad memories.,ChatGPT,50,8,78,Please write me a story in exactly 5 sentences: Write about a world where people can take a pill to forget their bad memories.,126
Narrate a story set in a world where every human's lifespan is determined by a digital counter visible on their wrist.,ChatGPT,13,18,118,Please write me a story in exactly 5 sentences: Narrate a story set in a world where every human's lifespan is determined by a digital counter visible on their wrist.,166
"A character can see everyone’s aura, but one day they meet someone without one.",ChatGPT,27,4,79,"Please write me a story in exactly 5 sentences: A character can see everyone’s aura, but one day they meet someone without one.",127
A mirror that shows the viewer their life as it might have been with different choices.,ChatGPT,25,6,87,Please write me a story in exactly 5 sentences: A mirror that shows the viewer their life as it might have been with different choices.,135
A character can hear every lie told around them.,ChatGPT,32,16,48,Please write me a story in exactly 5 sentences: A character can hear every lie told around them.,96
"After a strange solar eclipse, a character has the ability to switch between different Earth dimensions.",ChatGPT,48,12,104,"Please write me a story in exactly 5 sentences: After a strange solar eclipse, a character has the ability to switch between different Earth dimensions.",152
A person receives a postcard from their future self warning them about a decision they are about to make.,ChatGPT,7,9,105,Please write me a story in exactly 5 sentences: A person receives a postcard from their future self warning them about a decision they are about to make.,153
Two strangers are the only passengers on a midnight train that doesn't seem to stop.,ChatGPT,4,2,84,Please write me a story in exactly 5 sentences: Two strangers are the only passengers on a midnight train that doesn't seem to stop.,132
A mysterious disease that only affects people on their birthday.,ChatGPT,29,16,64,Please write me a story in exactly 5 sentences: A mysterious disease that only affects people on their birthday.,112
"An old, wise tree in the center of a forest holds the secrets to the universe.",ChatGPT,47,3,78,"Please write me a story in exactly 5 sentences: An old, wise tree in the center of a forest holds the secrets to the universe.",126
A character must navigate a series of tests to inherit a powerful magical artifact.,ChatGPT,46,1,83,Please write me a story in exactly 5 sentences: A character must navigate a series of tests to inherit a powerful magical artifact.,131
"A secret society of historians can travel through time to preserve history, but one rogue member has other plans.",ChatGPT,19,19,113,"Please write me a story in exactly 5 sentences: A secret society of historians can travel through time to preserve history, but one rogue member has other plans.",161
Imagine a world where shadows whisper secrets from the past.,ChatGPT,2,5,60,Please write me a story in exactly 5 sentences: Imagine a world where shadows whisper secrets from the past.,108
A journalist tracking down an anonymous artist uncovers a network of spies.,ChatGPT,43,19,75,Please write me a story in exactly 5 sentences: A journalist tracking down an anonymous artist uncovers a network of spies.,123
A character must return a lost item to a ghost to settle an old debt.,ChatGPT,23,5,69,Please write me a story in exactly 5 sentences: A character must return a lost item to a ghost to settle an old debt.,117
"A mysterious diary is found buried in a garden, revealing secrets that could change a family forever.",ChatGPT,3,6,101,"Please write me a story in exactly 5 sentences: A mysterious diary is found buried in a garden, revealing secrets that could change a family forever.",149
A magical bookstore where the books can alter the reader's reality.,ChatGPT,15,6,67,Please write me a story in exactly 5 sentences: A magical bookstore where the books can alter the reader's reality.,115
An abandoned theme park where the attractions come to life at night.,ChatGPT,11,16,68,Please write me a story in exactly 5 sentences: An abandoned theme park where the attractions come to life at night.,116
A magical library where the books can alter reality.,ChatGPT,18,14,52,Please write me a story in exactly 5 sentences: A magical library where the books can alter reality.,100
A small town discovers its lake has magical properties.,ChatGPT,5,3,55,Please write me a story in exactly 5 sentences: A small town discovers its lake has magical properties.,103
A character discovers they can enter paintings and interact with the world within.,ChatGPT,36,6,82,Please write me a story in exactly 5 sentences: A character discovers they can enter paintings and interact with the world within.,130
A tale about a character who creates sculptures that come to life.,ChatGPT,18,11,66,Please write me a story in exactly 5 sentences: A tale about a character who creates sculptures that come to life.,114
"A small, unassuming door in a large city that leads to different historical eras.",ChatGPT,23,7,81,"Please write me a story in exactly 5 sentences: A small, unassuming door in a large city that leads to different historical eras.",129
Two children find a hidden door in their new house leading to an enchanted world.,ChatGPT,10,7,81,Please write me a story in exactly 5 sentences: Two children find a hidden door in their new house leading to an enchanted world.,129
A character finds a lost civilization in their basement.,ChatGPT,36,7,56,Please write me a story in exactly 5 sentences: A character finds a lost civilization in their basement.,104
A small village where everyone's dreams are shared in a public dream diary.,ChatGPT,39,16,75,Please write me a story in exactly 5 sentences: A small village where everyone's dreams are shared in a public dream diary.,123
"An antique mirror shows not the reflection, but the deepest desires of whoever looks into it.",ChatGPT,35,17,93,"Please write me a story in exactly 5 sentences: An antique mirror shows not the reflection, but the deepest desires of whoever looks into it.",141
A detective in a fantasy world investigates a series of spells that backfired mysteriously.,ChatGPT,16,19,91,Please write me a story in exactly 5 sentences: A detective in a fantasy world investigates a series of spells that backfired mysteriously.,139
Tell a tale of a bookshop where each book transports the reader to the story’s universe.,ChatGPT,23,20,88,Please write me a story in exactly 5 sentences: Tell a tale of a bookshop where each book transports the reader to the story’s universe.,136
A theme park where the attractions are based on alternate realities.,ChatGPT,41,13,68,Please write me a story in exactly 5 sentences: A theme park where the attractions are based on alternate realities.,116
A pair of glasses that allow the wearer to see everyone's thoughts.,ChatGPT,28,7,67,Please write me a story in exactly 5 sentences: A pair of glasses that allow the wearer to see everyone's thoughts.,115
"An ancient tree is found to record human events in its rings, revealing untold histories.",ChatGPT,21,2,89,"Please write me a story in exactly 5 sentences: An ancient tree is found to record human events in its rings, revealing untold histories.",137
"After purchasing an antique camera, a photographer starts capturing images of historical events.",ChatGPT,28,6,96,"Please write me a story in exactly 5 sentences: After purchasing an antique camera, a photographer starts capturing images of historical events.",144
"A city where everyone is anonymous, and wearing masks is mandatory faces a unique challenge when a person’s mask falls off in public.",ChatGPT,48,9,133,"Please write me a story in exactly 5 sentences: A city where everyone is anonymous, and wearing masks is mandatory faces a unique challenge when a person’s mask falls off in public.",181
A group of friends go camping and find themselves trapped in a fairy tale.,ChatGPT,14,12,74,Please write me a story in exactly 5 sentences: A group of friends go camping and find themselves trapped in a fairy tale.,122
A forbidden romance between a human and an AI goes against societal norms.,ChatGPT,18,2,74,Please write me a story in exactly 5 sentences: A forbidden romance between a human and an AI goes against societal norms.,122
