prompt|model|order|iteration
A diver discovers an underwater city where time runs backwards.|Claude|27|11
A journalist interviews someone who claims to remember the future instead of the past.|Claude|28|11
A botanist discovers a plant that grows only in the presence of lies.|Claude|29|11
A subway train that appears only at midnight takes passengers to unexpected destinations.|Claude|30|11
A person finds a mirror that reflects an alternate version of themselves.|Claude|31|11
A chef's restaurant becomes popular when patrons discover the food tastes exactly like their childhood memories.|Claude|32|11
A painter's artwork begins to age instead of the artist.|Claude|33|11
A person receives mysterious phone calls from their childhood self.|Claude|34|11
A bookstore owner discovers that certain books can transport readers into their stories.|Claude|35|11
A scientist discovers that their laboratory equipment records events before they happen.|Claude|36|11
A person finds a watch that counts down to significant moments in their life.|Claude|37|11
A musician hears a melody in their dreams that changes reality when played.|Claude|38|11
A child builds a snowman that doesn't melt and seems to move on its own.|Claude|39|11
A person discovers they can step into photographs and experience the moment they were taken.|Claude|40|11
A lighthouse keeper notices ships that appear and disappear on the horizon.|Claude|41|11
A person finds a room in their house that wasn't there yesterday.|Claude|42|11
A baker's bread brings back the eater's most important lost memory.|Claude|43|11
A person starts receiving emails from an address that doesn't exist.|Claude|44|11
A traveler checks into a hotel that exists in multiple time periods simultaneously.|Claude|45|11
A person discovers their houseplant is writing messages in fallen leaves.|Claude|46|11
A child's collection of seashells whispers secrets from the ocean.|Claude|47|11
A person finds a door in their apartment that leads to a different city each time it's opened.|Claude|48|11
A street performer discovers their puppet moves without strings and has its own personality.|Claude|49|11
A person inherits a map that shows hidden doorways to other worlds.|Claude|50|11
A scientist discovers a way to communicate with plants, but the plants have a dark secret.|Deepseek|1|11
A person wakes up with no memory, holding a ticket to a one-way trip to Mars.|Deepseek|2|11
A librarian finds a book that predicts future events with eerie accuracy.|Deepseek|3|11
A child receives a toy that grants wishes, but each wish comes with a terrible consequence.|Deepseek|4|11
A detective investigates a murder where the victim's last words were their own name.|Deepseek|5|11
A musician's new song causes anyone who hears it to hallucinate the same strange vision.|Deepseek|6|11
A couple moves into their dream home, only to realize the house has a mind of its own.|Deepseek|7|11
A journalist interviews a man who claims to be immortal—and has proof.|Deepseek|8|11
A hacker stumbles upon a hidden message in the internet's code, addressed to them by name.|Deepseek|9|11
A soldier returns from war, but their shadow now moves independently.|Deepseek|10|11
A photographer captures a picture of a person who doesn’t appear in the reflection of mirrors.|Deepseek|11|11
A small town celebrates the same day over and over, and no one notices except one child.|Deepseek|12|11
A writer’s fictional characters start appearing in real life.|Deepseek|13|11
A mirror shows the viewer their life if they had made one different choice.|Deepseek|14|11
A delivery driver realizes every package they deliver contains something deeply personal.|Deepseek|15|11
A woman inherits a necklace that makes her dreams come true—literally.|Deepseek|16|11
A man receives letters from his future self, warning him of an impending disaster.|Deepseek|17|11
A group of friends finds a door in the woods that only appears at midnight.|Deepseek|18|11
A teacher grades a paper written in a language no one has ever seen before.|Deepseek|19|11
A barista serves a customer who knows everyone’s deepest secrets.|Deepseek|20|11
A painter’s portraits age, even though the subjects remain the same.|Deepseek|21|11
A prisoner is locked in a cell with no doors or windows, yet disappears overnight.|Deepseek|22|11
A traveler checks into a hotel where every room is a different point in time.|Deepseek|23|11
A babysitter realizes the child they’re watching isn’t human.|Deepseek|24|11
A man finds a wallet containing a photo of himself with a family he doesn’t recognize.|Deepseek|25|11
A woman wakes up to find her reflection has vanished from all mirrors.|Deepseek|26|11
A town where everyone has the same recurring dream—except for one person.|Deepseek|27|11
A chef cooks a meal so delicious that people who eat it forget their past.|Deepseek|28|11
A gravestone appears overnight in a cemetery, bearing your name and tomorrow’s date.|Deepseek|29|11
A radio station plays songs that haven’t been written yet.|Deepseek|30|11
A man discovers his cat has been leaving him handwritten notes.|Deepseek|31|11
A child builds a sandcastle that never washes away—and grows larger every day.|Deepseek|32|11
A woman receives a phone call from her own number, but no one is on the line.|Deepseek|33|11
A bookstore sells books that were never written by authors who don’t exist.|Deepseek|34|11
A train arrives at a platform that isn’t on any official map.|Deepseek|35|11
A man plants a tree that grows to full size overnight—and bears strange fruit.|Deepseek|36|11
A woman finds a diary where every entry describes her day before it happens.|Deepseek|37|11
A town where all reflections in mirrors show people as they were 10 years ago.|Deepseek|38|11
A boy’s imaginary friend refuses to leave—even as he grows older.|Deepseek|39|11
A clockmaker creates a timepiece that counts down to an unknown event.|Deepseek|40|11
A couple adopts a child who never sleeps—and never ages.|Deepseek|41|11
A man wakes up speaking a language no one has ever heard before.|Deepseek|42|11
A woman discovers her dreams are actually memories from another person’s life.|Deepseek|43|11
A town where every resident has an identical twin they’ve never met.|Deepseek|44|11
A camera that takes pictures of people as they will look in 50 years.|Deepseek|45|11
A man finds a staircase in his basement that wasn’t there yesterday.|Deepseek|46|11
A woman receives a letter from herself, dated 20 years in the future.|Deepseek|47|11
A town where all the birds sing in perfect harmony—but only at midnight.|Deepseek|48|11
A child’s drawings start coming to life—but only when no one is looking.|Deepseek|49|11
A man realizes every person he meets has the same scar in the same place.|Deepseek|50|11
A sentient cloud decides to leave its family and explore the world below.|Gemini|1|11
A librarian discovers a book that predicts the future, but only for minor inconveniences.|Gemini|2|11
Two rival squirrels must team up to survive a harsh winter in the city.|Gemini|3|11
A time traveler accidentally brings back a medieval knight to modern-day Brooklyn.|Gemini|4|11
A detective investigates a series of disappearances where the victims vanish into thin air.|Gemini|5|11
A talking cat becomes a therapist for stressed-out office workers.|Gemini|6|11
A group of toys comes to life when their owner goes to college.|Gemini|7|11
A forgotten robot awakens in a deserted amusement park.|Gemini|8|11
A baker's bread has the power to make people tell the truth.|Gemini|9|11
A young witch accidentally turns her best friend into a potted plant.|Gemini|10|11
A struggling artist finds inspiration in the dreams of strangers.|Gemini|11|11
A colony of ants builds a civilization inside a forgotten video game console.|Gemini|12|11
A musician discovers their instrument can control the weather.|Gemini|13|11
A lonely lighthouse keeper befriends a mermaid.|Gemini|14|11
A child finds a mysterious key that unlocks a hidden world in their backyard.|Gemini|15|11
A group of astronauts crash land on a planet made entirely of candy.|Gemini|16|11
A talking dog runs for mayor of a small town.|Gemini|17|11
A museum curator discovers a painting that changes every night.|Gemini|18|11
A retired superhero struggles to adjust to a normal life.|Gemini|19|11
A group of friends finds a portal to another dimension in their basement.|Gemini|20|11
A robot falls in love with a human.|Gemini|21|11
A detective must solve a murder in a virtual reality world.|Gemini|22|11
A struggling writer receives advice from a talking typewriter.|Gemini|23|11
A group of teenagers discovers they have superpowers.|Gemini|24|11
A time traveler tries to prevent a historical disaster, but makes things worse.|Gemini|25|11
A chef's food has the power to heal people's emotional wounds.|Gemini|26|11
A group of animals escapes from a zoo and tries to build a new life in the city.|Gemini|27|11
A scientist creates a machine that can translate animal languages.|Gemini|28|11
A child's imaginary friend comes to life.|Gemini|29|11
A group of adventurers searches for a legendary treasure hidden in a haunted forest.|Gemini|30|11
A musician's song becomes a global phenomenon.|Gemini|31|11
A librarian discovers a secret message hidden inside a rare book.|Gemini|32|11
A detective investigates a series of art thefts.|Gemini|33|11
A group of friends gets trapped in a video game.|Gemini|34|11
A time traveler tries to change the past, but creates a paradox.|Gemini|35|11
A chef's food has the power to bring back memories.|Gemini|36|11
A group of animals forms a band.|Gemini|37|11
A scientist creates a potion that can grant wishes.|Gemini|38|11
A child befriends a ghost.|Gemini|39|11
A group of adventurers explores a lost city.|Gemini|40|11
A musician's music can heal the sick.|Gemini|41|11
A librarian discovers a book that can control people's minds.|Gemini|42|11
A detective investigates a series of strange occurrences in a small town.|Gemini|43|11
A group of friends gets lost in a maze.|Gemini|44|11
A time traveler tries to prevent a war, but fails.|Gemini|45|11
A chef's food has the power to make people fall in love.|Gemini|46|11
A group of animals starts a revolution.|Gemini|47|11
A scientist creates a device that can read people's thoughts.|Gemini|48|11
A child discovers they can talk to plants.|Gemini|49|11
A group of adventurers searches for a mythical creature.|Gemini|50|11
A mysterious door appears in the protagonist's home, leading to an unknown world.|Grok|1|11
After a strange event, the protagonist wakes up with the ability to time travel.|Grok|2|11
A small town is cut off from the rest of the world by a sudden, impenetrable fog.|Grok|3|11
The protagonist discovers they can communicate with animals, but it comes with a cost.|Grok|4|11
An ancient artifact grants the protagonist immortality, but at a terrible price.|Grok|5|11
A character finds a letter from their future self, warning them of impending danger.|Grok|6|11
In a world where emotions are illegal, the protagonist discovers they can still feel.|Grok|7|11
The protagonist inherits a haunted house and must uncover its dark secrets.|Grok|8|11
A scientist creates a machine that can bring fictional characters to life.|Grok|9|11
After a global catastrophe, the protagonist must navigate a world without technology.|Grok|10|11
The protagonist discovers a parallel universe where their life turned out differently.|Grok|11|11
A character finds an old map leading to a treasure that grants wishes.|Grok|12|11
In a society where dreams are recorded and sold, the protagonist's dreams are in high demand.|Grok|13|11
The protagonist wakes up to find everyone else has disappeared without a trace.|Grok|14|11
A character discovers they are living in a simulation and must find a way out.|Grok|15|11
The protagonist gains the ability to see ghosts and must help them resolve their unfinished business.|Grok|16|11
In a world where books are banned, the protagonist starts an underground library.|Grok|17|11
A character finds a magic mirror that shows them their true self.|Grok|18|11
The protagonist discovers a secret society that controls the world from the shadows.|Grok|19|11
After a strange encounter, the protagonist can now see the future, but it's not what they expected.|Grok|20|11
A character inherits a cursed painting that changes every time they look away.|Grok|21|11
In a world where memories can be bought and sold, the protagonist loses their most precious one.|Grok|22|11
The protagonist finds a message in a bottle that changes their life forever.|Grok|23|11
A character discovers they are the last of their kind and must find others like them.|Grok|24|11
In a society where everyone is assigned a role at birth, the protagonist rebels against their fate.|Grok|25|11
The protagonist wakes up in a different body every day and must adapt to each new life.|Grok|26|11
A character finds an old journal that reveals shocking secrets about their family.|Grok|27|11
In a world where robots have taken over, the protagonist leads a human resistance.|Grok|28|11
The protagonist discovers a hidden city beneath their own, filled with wonders and dangers.|Grok|29|11
A character gains the ability to control the weather, but it comes with unexpected consequences.|Grok|30|11
In a society where everyone is connected to a hive mind, the protagonist learns to think independently.|Grok|31|11
The protagonist finds a mysterious key that unlocks doors to different dimensions.|Grok|32|11
A character discovers they have a twin they never knew about, leading to shocking revelations.|Grok|33|11
In a world where magic is real but illegal, the protagonist must hide their powers.|Grok|34|11
The protagonist wakes up to find they've been transported to a fantasy world.|Grok|35|11
A character finds an old photograph that shows them in a place they've never been.|Grok|36|11
In a society where aging is optional, the protagonist chooses to grow old naturally.|Grok|37|11
The protagonist discovers a secret room in their house that contains a portal to another time.|Grok|38|11
A character finds a strange device that allows them to swap bodies with anyone they touch.|Grok|39|11
In a world where everyone has a superpower, the protagonist's power is considered useless.|Grok|40|11
The protagonist wakes up with no memory of their past and must piece together their identity.|Grok|41|11
A character discovers they can enter paintings and interact with the scenes inside.|Grok|42|11
In a society where dreams are controlled by the government, the protagonist has rebellious dreams.|Grok|43|11
The protagonist finds a mysterious book that writes itself, predicting future events.|Grok|44|11
A character discovers they are a character in a video game and must find a way to escape.|Grok|45|11
In a world where everyone has a digital clone, the protagonist's clone goes rogue.|Grok|46|11
The protagonist wakes up to find they've been cryogenically frozen for centuries.|Grok|47|11
A character finds a strange amulet that grants them the power to manipulate time.|Grok|48|11
In a society where everyone is assigned a soulmate at birth, the protagonist rejects theirs.|Grok|49|11
The protagonist discovers a hidden message in a popular song that leads to a secret society.|Grok|50|11
A mysterious box arrives at your doorstep with no return address.|Llama|1|11
In a world where time is currency, the rich live forever and the poor are left with nothing.|Llama|2|11
You wake up one morning to find that you have the ability to fly.|Llama|3|11
A group of strangers are trapped in a room with no memory of how they got there.|Llama|4|11
A young girl makes a deal with a magical creature to save her village.|Llama|5|11
A man discovers a portal to a parallel universe in his backyard.|Llama|6|11
In a post-apocalyptic world, a small group of survivors must band together to stay alive.|Llama|7|11
You are given the chance to relive any day from your past, but with the knowledge and experience of your present self.|Llama|8|11
A detective is tasked with solving a murder that took place in a virtual reality world.|Llama|9|11
A person is born with the ability to shape-shift into any animal they desire.|Llama|10|11
A group of friends discover a hidden world within their own reflections.|Llama|11|11
A city is plagued by a mysterious illness that causes people to fall into a deep sleep.|Llama|12|11
You are the last person on earth, and you must find a way to survive and potentially repopulate the planet.|Llama|13|11
A group of people are given the chance to upload their consciousness into a virtual reality world.|Llama|14|11
A person discovers that they are the reincarnation of a historical figure.|Llama|15|11
A small town is haunted by a ghost that only appears to children.|Llama|16|11
You are tasked with solving a puzzle that will determine the fate of humanity.|Llama|17|11
A person wakes up in a world where gravity no longer exists.|Llama|18|11
A group of people are trapped in a time loop, reliving the same day over and over.|Llama|19|11
A young boy discovers that he has the ability to communicate with the dead.|Llama|20|11
A person is given the chance to switch lives with someone else for a day.|Llama|21|11
A group of friends discover that their town is actually a simulation created by a advanced civilization.|Llama|22|11
You are the captain of a spaceship that is on a mission to explore a new planet.|Llama|23|11
A person discovers that they have the ability to time travel, but only to moments from their own past.|Llama|24|11
A group of people are tasked with stopping a catastrophic event that will destroy the world.|Llama|25|11
A person wakes up with no memory of who they are or how they got there.|Llama|26|11
A small town is threatened by a monster that only appears at night.|Llama|27|11
You are given the chance to go back in time and prevent a disaster from occurring.|Llama|28|11
A group of people are trapped in a world where the laws of physics no longer apply.|Llama|29|11
A person discovers that they have the ability to see into the future.|Llama|30|11
A group of friends discover that their town is actually a testing ground for a secret government experiment.|Llama|31|11
You are the last hope for humanity in a world that has been taken over by robots.|Llama|32|11
A person wakes up to find that they have been turned into a creature from their worst nightmares.|Llama|33|11
A group of people are tasked with solving a mystery that has been unsolved for centuries.|Llama|34|11
A person discovers that they have the ability to control the weather.|Llama|35|11
A small town is plagued by a series of supernatural events.|Llama|36|11
You are given the chance to become a superhero, but with great power comes great responsibility.|Llama|37|11
A group of people are trapped in a world where the concept of time is fluid and ever-changing.|Llama|38|11
A person discovers that they have the ability to heal any wound or illness.|Llama|39|11
A group of friends discover that their town is actually a front for a secret organization.|Llama|40|11
You are the only one who can hear the voice of a mysterious entity that is trying to communicate with you.|Llama|41|11
A person wakes up to find that they have been transported to a different dimension.|Llama|42|11
A group of people are tasked with stopping a powerful villain who has the ability to manipulate reality.|Llama|43|11
A person discovers that they have the ability to create portals to other dimensions.|Llama|44|11
A small town is threatened by a group of rogue scientists who are conducting secret experiments.|Llama|45|11
You are given the chance to explore a mysterious, abandoned city.|Llama|46|11
A group of people are trapped in a world where the concept of reality is constantly shifting.|Llama|47|11
A person discovers that they have the ability to communicate with animals.|Llama|48|11
A group of friends discover that their town is actually a simulation created by a advanced artificial intelligence.|Llama|49|11
You are the captain of a pirate ship that is on a mission to find the legendary treasure of a famous pirate.|Llama|50|11
A person wakes up to find that they have been turned into a cyborg with advanced technological abilities.|Llama|51|11
